nom,reg-code,reg-nom,type,collab,url,techno,porteur,contact,twitter
Opendata CA La Rochelle,75,Nouvelle-Aquitaine,Portail,Partagé,https://opendata2.agglo-larochelle.fr/,DATA4CITIZEN,CA,,
Opendata CA Versailles GP,11,Île-de-France,Géoportail,Dédié,http://www-cavgp.opendata.arcgis.com,ArcGis,CA,,
Opendata Cachan,11,Île-de-France,Portail,Dédié,https://cachan.opendatasoft.com/pages/accueil/,OpenDataSoft,COM,,
Opendata Caux Vallée de Seine,28,Normandie,Géoportail,Dédié,https://opendata.cauxseine.fr,ArcGis,CA,,
Opendata Clermont Métropole,84,Auvergne-Rhône-Alpes,Portail,Mutualisé,https://opendata.clermontmetropole.eu,OpenDataSoft,MET,,
OpenData Courty,11,Île-de-France,Géoportail,Dédié,https://courtry-agglo-pvm.opendata.arcgis.com/,ArcGis,COM,,
Opendata Doubs,27,Bourgogne-Franche-Comté,Portail,Dédié,https://opendata.doubs.fr,OpenDataSoft,DEP,,
Opendata Eure,28,Normandie,Portail,Dédié,https://opendata.eure.fr,ArcGis,DEP,,
Opendata Eure et Seine Maritime 27 76,28,Normandie,Portail,Partagé,http://www.opendata-27-76.fr,Spécifique,DEP,,
Opendata Finistère,53,Bretagne,Portail,Dédié,https://opendata.finistere.fr,OpenDataSoft,DEP,,
OpenData Fos sur mer,93,Provence-Alpes-Côte d'Azur,Portail,Dédié,https://fos-sur-mer.opendatasoft.com/explore/?sort=modified&refine.publisher=Commune+de+Fos-Sur-Mer,OpenDataSoft,COM,,
Opendata Garges,11,Île-de-France,Portail,Dédié,https://garges.data4citizen.com/,DATA4CITIZEN,COM,,
Opendata Geo2France,32,Hauts-de-France,Portail,Dédié,https://www.geo2france.fr/ckan,CKAN,REG,,
Opendata GIP Seine Aval,28,Normandie,Portail,Dédié,https://opendata.seine-aval.fr,Spécifique,AGCT,,
Opendata Grand Nancy,44,Grand Est,Portail,Dédié,http://opendata.grandnancy.eu,TYPO3 In Cite,MET,,
Opendata Grand Paris Seine & Oise,11,Île-de-France,Portail,Mutualisé,https://gpseo.opendatasoft.com,OpenDataSoft,EPT,,
Opendata Guadeloupe,1,Guadeloupe,Portail,Mutualisé,https://regionguadeloupe.opendatasoft.com/pages/accueil/,OpenDataSoft,REG,,
Opendata Hautes Pyrénées,76,Occitanie,Portail,Mutualisé,https://opendata.ha-py.fr,OpenDataSoft,DEP,,
Opendata Hauts de France,32,Hauts-de-France,Portail,Dédié,http://opendata.hautsdefrance.fr,CKAN,REG,,
Opendata Hauts de Seine,11,Île-de-France,Portail,Mutualisé,https://opendata.hauts-de-seine.fr,OpenDataSoft,DEP,,
Opendata Isère,84,Auvergne-Rhône-Alpes,Portail,Dédié,https://opendata.isere.fr/pages/accueil/,OpenDataSoft,DEP,,
Opendata Istres,93,Provence-Alpes-Côte d'Azur,Site web,Dédié,https://www.istres.fr/index.php?id=618,Spécifique,COM,,
OpenData La Fibre 64,75,Nouvelle-Aquitaine,Portail,Dédié,https://lafibre64-data64.opendatasoft.com/explore/?sort=modified,OpenDataSoft,AGCT,,
Opendata La Rochelle,75,Nouvelle-Aquitaine,Portail,Dédié,https://opendata.larochelle.fr,Spécifique,COM,,
Opendata Lacq-Orthez,75,Nouvelle-Aquitaine,Portail,Dédié,https://opendata.cc-lacqorthez.fr/pages/home2/,OpenDataSoft,CC,,
Opendata Le Mans,52,Pays de la Loire,Site web,Dédié,http://www.lemans.fr/citoyen/la-collectivite/lopen-data/les-contenus-en-open-data/,Spécifique,COM,,
Opendata Lille Métropole,32,Hauts-de-France,Portail,Mutualisé,https://opendata.lillemetropole.fr,OpenDataSoft,MET,,
Opendata Loiret,24,Centre-Val de Loire,Géoportail,Dédié,https://open-loiret.opendata.arcgis.com,ArcGis,DEP,,
Opendata Maine et Loire 49,52,Pays de la Loire,Portail,Partagé,https://www.opendata49.fr,TYPO3 In Cite,DEP,,
Opendata Manche,28,Normandie,Portail,Mutualisé,https://www.opendata-manche.fr,MGDIS Open Data,DEP,,
Opendata Mandres,11,Île-de-France,Portail,Dédié,https://mandres.data4citizen.com/,DATA4CITIZEN,COM,,
Opendata Meurthe et Moselle,44,Grand Est,Géoportail,Dédié,http://catalogue.infogeo54.fr/geonetwork/srv/fre/catalog.search#/home,GeoNetwork,DEP,,
Opendata Morbihan 56,53,Bretagne,Portail,Mutualisé,http://www.opendata56.fr,OpenDataSoft,AGCT,,
Opendata Moselle,44,Grand Est,Géoportail,Dédié,http://www.moselleopendata.fr,Isogéo,DEP,,
Opendata Nanterre,11,Île-de-France,Site web,Dédié,http://www.nanterre.fr/1166-donnees-a-telecharger.htm,Spécifique,COM,,
Opendata Nice Côte d'Azur,93,Provence-Alpes-Côte d'Azur,Portail,Partagé,http://opendata.nicecotedazur.org,CKAN,MET,,
Opendata Oise,32,Hauts-de-France,Portail,Dédié,http://opendata.oise.fr,TYPO3 In Cite,DEP,,
Opendata Paris,11,Île-de-France,Portail,Dédié,https://opendata.paris.fr,OpenDataSoft,DEP,,
Opendata Paris Saclay,11,Île-de-France,Portail,Dédié,https://opendata.paris-saclay.com,OpenDataSoft,CA,,
Opendata Puy de Dôme,84,Auvergne-Rhône-Alpes,Site web,Dédié,http://www.puy-de-dome.fr/opendata.html,Spécifique,DEP,,
Opendata Puy en Velay,84,Auvergne-Rhône-Alpes,Géoportail,Mutualisé,https://opendata.agglo-lepuyenvelay.fr/geonetwork/srv/fre/catalog.search;jsessionid=BE67FD2D3A535EF822E8EA6244025CDF,GeoNetwork,CC,,
Opendata RATP,11,Île-de-France,Portail,Dédié,https://data.ratp.fr,OpenDataSoft,DSPT,,
Opendata Rosny-sous-Bois,11,Île-de-France,Site web,Dédié,https://www.rosnysousbois.fr/demarches/open-data/,metaclic,COM,,
Opendata Roubaix,32,Hauts-de-France,Portail,Dédié,https://opendata.roubaix.fr,OpenDataSoft,COM,,
Opendata SAEMES,11,Île-de-France,Portail,Dédié,https://opendata.saemes.fr,OpenDataSoft,DSPT,,
Opendata Saint Denis,4,La Réunion,Géoportail,Dédié,http://opendata-sig.saintdenis.re,ArcGis,COM,,
Opendata Saint Mandé,11,Île-de-France,Portail,Dédié,https://saintmande.opendatasoft.com,OpenDataSoft,COM,,
Opendata Saint Quentin,32,Hauts-de-France,Géoportail,Dédié,http://open-data.saint-quentin-numerique.fr,ArcGis,COM,,
Opendata Saint-Louis Agglo,44,Grand Est,Portail,Dédié,https://saint-louis-agglo.opendatasoft.com,OpenDataSoft,CA,,
Opendata Seine Maritime 76,28,Normandie,Géoportail,Dédié,https://www.opendata76.fr,ArcGis,DEP,,
Opendata Sète Agglopole,76,Occitanie,Portail,Partagé,http://opendata.agglopole.fr,Spécifique,CA,,
Opendata Sictiam,93,Provence-Alpes-Côte d'Azur,Portail,Mutualisé,https://opendata.sictiam.fr,CKAN,AGCT,,
Opendata SIG Grand Belfort,27,Bourgogne-Franche-Comté,Géoportail,Dédié,https://belfort-cab.opendata.arcgis.com,ArcGis,CA,,
Opendata SRD Energie,84,Auvergne-Rhône-Alpes,Portail,Dédié,https://opendata.srd-energies.fr,OpenDataSoft,AGCT,,
Opendata Tours Métropole VL,24,Centre-Val de Loire,Portail,Mutualisé,https://data.tours-metropole.fr/,OpenDataSoft,MET,,
Opendata Valenciennes,32,Hauts-de-France,Portail,Dédié,https://valenciennesmetro.opendatasoft.com/pages/accueil/,OpenDataSoft,CA,,
OPenIG,76,Occitanie,Géoportail,Partenarial,https://ckan.openig.org,CKAN,OACT,,
PEIGEO,4,La Réunion,Géoportail,Partenarial,http://www.peigeo.re/geonetwork/,GeoNetwork,REG,,
Picto Occitanie,76,Occitanie,Géoportail,Partenarial,https://www.picto-occitanie.fr/geonetwork/,GeoNetwork,SDE,,
Qualitair Corse Open Data,94,Corse,Géoportail,Dédié,https://data-qualitaircorse.opendata.arcgis.com,ArcGis,OACT,,
Ressourcerie Datalocale,75,Nouvelle-Aquitaine,Portail,Mutualisé,https://www.datalocale.fr,CKAN,DEP,,
Sig Loire,52,Pays de la Loire,Géoportail,Partenarial,https://catalogue.sigloire.fr/geonetwork/,GeoNetwork,SDE,,
SIG Open Data Centre Val de Loire,24,Centre-Val de Loire,Géoportail,Mutualisé,https://sig-crcentre.opendata.arcgis.com/,ArcGis,REG,,
SIG Rennes Métropole,53,Bretagne,Géoportail,Partagé,https://public.sig.rennesmetropole.fr/geonetwork/,GeoNetwork,CA,,
SiiG,76,Occitanie,Site web,Dédié,https://www.siig.fr/fr/catalogue.php,Spécifique,AGCT,,
SMICA,76,Occitanie,Portail,Mutualisé,https://www.smica.fr/fr/metiers-services/donnees/opendata,Spécifique,DEP,,
Star Data Explore,53,Bretagne,Portail,Dédié,https://data.explore.star.fr,OpenDataSoft,DSPT,,
Tarn et Garonne Open Data,76,Occitanie,Portail,Mutualisé,https://data.82numerique.fr/explore/?disjunctive.publisher&sort=modified,OpenDataSoft,AGCT,,
TIGEO,76,Occitanie,Géoportail,Dédié,https://www.tigeo.fr/rechercher-et-consulter-des-donnees,easySDI,OACT,,
ZABAL Pays Basque,75,Nouvelle-Aquitaine,Portail,Dédié,https://zabal-agriculture.opendata-paysbasque.fr,OpenDataSoft,CA,,
