siren,nom,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,lon,merge,depcode,orga,tags,tranche_pop,tranche_ptf,platform_clean,text,id_odf,dep_label
213100332,AUTERIVE,COM,OCC-76,https://data.laregion.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Commune+d%27Auterive,1,,,,Commune d'Auterive,9417,43.350837,1.477022,ptf,31,Data Occitanie,Administratif,p_5_10,d_1_5,OpenDataSoft,"<p>L'organisation AUTERIVE est une commune et se situe dans le département de Haute-Garonne (31). Cette commune représente une population de 9417 habitants</p><br><p>AUTERIVE publie uniquement sur un portail local avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 1 jeu de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://data.laregion.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Commune+d%27Auterive'> la plateforme de AUTERIVE</a>.</p><br>",odf_213100332,Haute-Garonne
200021624,AUTOLIB VELIB METROPOLE,AGCT,IDF-11,https://opendata.paris.fr/explore/?sort=modified&refine.publisher=Autolib+Velib+M%C3%A9tropole+&refine.publisher=Autolib+Velib+M%C3%A9tropole&disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.modified&disjunctive.features,2,https://www.data.gouv.fr/fr/organizations/55b10bbcc751df773d10ccc3/,1,55b10bbcc751df773d10ccc3,Autolib Velib Métropole,,48.858443,2.346957,ptf+datagouv,75,Opendata Paris,Transport,p_na,d_1_5,OpenDataSoft,"<p>L'organisation AUTOLIB VELIB METROPOLE est un autre groupement de collectivité territoriale et se situe dans le département de Paris (75). </p><br><p>AUTOLIB VELIB METROPOLE publie sur un portail local et sur data.gouv avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 3 jeux de données : 2 jeux de données sur sa plateforme et 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://opendata.paris.fr/explore/?sort=modified&refine.publisher=Autolib+Velib+M%C3%A9tropole+&refine.publisher=Autolib+Velib+M%C3%A9tropole&disjunctive.theme&disjunctive.publisher&disjunctive.keyword&disjunctive.modified&disjunctive.features'> la plateforme de AUTOLIB VELIB METROPOLE</a> ou sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/55b10bbcc751df773d10ccc3/'> sa page sur datagouv</a>.</p><br>",odf_200021624,Paris
217100148,AUTUN,COM,BFC-27,https://www.databfc.fr/bfc/portail,4,https://www.data.gouv.fr/fr/organizations/5bb47c2a634f416334276b4f/,4,5bb47c2a634f416334276b4f,,13635,46.951,4.2978,ptf+datagouv,71,Data BFC-IDéO - Portail Opendata BFC,Administratif-Citoyenneté-Social,p_10_25,d_6_10,CKAN-CKAN,"<p>L'organisation AUTUN est une commune et se situe dans le département de Saône-et-Loire (71). Cette commune représente une population de 13635 habitants</p><br><p>AUTUN publie sur un portail local et sur data.gouv avec une plateforme de type CKAN-CKAN.</p><br><p>Cette organisation a publié 8 jeux de données : 4 jeux de données sur sa plateforme et 4 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.databfc.fr/bfc/portail'> la plateforme de AUTUN</a> ou sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5bb47c2a634f416334276b4f/'> sa page sur datagouv</a>.</p><br>",odf_217100148,Saône-et-Loire
200053767,AUVERGNE RHONE ALPES,REG,ARA-84,http://opendata.auvergnerhonealpes.eu/7-les-donnees.htm?facet.provider[]=R%C3%A9gion%20Auvergne%20Rh%C3%B4ne-Alpes&from=0,71,,,,,8027000,45.758,4.835,ptf,69,Opendata Auvergne Rhône Alpes,Administratif-Tourisme-Equipements-Economie-Education,p_1000_5000.001,d_51_100,Spécifique,"<p>L'organisation AUVERGNE RHONE ALPES est une région et se situe dans le département de Rhône (69). Cette région représente une population de 8027000 habitants</p><br><p>AUVERGNE RHONE ALPES publie uniquement sur un portail local avec une plateforme de type Spécifique.</p><br><p>Cette organisation a publié 71 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='http://opendata.auvergnerhonealpes.eu/7-les-donnees.htm?facet.provider[]=R%C3%A9gion%20Auvergne%20Rh%C3%B4ne-Alpes&from=0'> la plateforme de AUVERGNE RHONE ALPES</a>.</p><br>",odf_200053767,Rhône
824433866,AUVERGNE RHONE ALPES TOURISME,OACT,ARA-84,http://opendata.auvergnerhonealpes.eu/7-les-donnees.htm?facet.provider%5B%5D=Comit%C3%A9+R%C3%A9gional+de+D%C3%A9veloppement+touristique+d%E2%80%99Auvergne+%28CRDTA%29,12,,,,,,45.740388,4.816515,ptf,69,Opendata Auvergne Rhône Alpes,Tourisme,p_na,d_11_25,Spécifique,"<p>L'organisation AUVERGNE RHONE ALPES TOURISME est un organisme associé de collectivité territoriale et se situe dans le département de Rhône (69). </p><br><p>AUVERGNE RHONE ALPES TOURISME publie uniquement sur un portail local avec une plateforme de type Spécifique.</p><br><p>Cette organisation a publié 12 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='http://opendata.auvergnerhonealpes.eu/7-les-donnees.htm?facet.provider%5B%5D=Comit%C3%A9+R%C3%A9gional+de+D%C3%A9veloppement+touristique+d%E2%80%99Auvergne+%28CRDTA%29'> la plateforme de AUVERGNE RHONE ALPES TOURISME</a>.</p><br>",odf_824433866,Rhône
218400075,AVIGNON,COM,PAC-93,https://trouver.datasud.fr/organization/avignon,42,,,,,93968,43.947855,4.807592,ptf,84,Data Sud,Administratif-Citoyenneté-Culture-Education-Environnement-Equipements-Transport-Urbanisme,p_50_100,d_26_50,CKAN,"<p>L'organisation AVIGNON est une commune et se situe dans le département de Vaucluse (84). Cette commune représente une population de 93968 habitants</p><br><p>AVIGNON publie uniquement sur un portail local avec une plateforme de type CKAN.</p><br><p>Cette organisation a publié 42 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://trouver.datasud.fr/organization/avignon'> la plateforme de AVIGNON</a>.</p><br>",odf_218400075,Vaucluse
216400861,AYHERRE,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/ayherre/,2,5cfa61b1634f411763ec4dff,,1068,43.392398,-1.253742,datagouv,64,DataGouv,Equipements,p_1_5,d_1_5,DataGouv,"<p>L'organisation AYHERRE est une commune et se situe dans le département de Pyrénées-Atlantiques (64). Cette commune représente une population de 1068 habitants</p><br><p>AYHERRE publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 2 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/ayherre/'> sa page sur datagouv</a>.</p><br>",odf_216400861,Pyrénées-Atlantiques
213400229,BAILLARGUES,COM,OCC-76,http://data.montpellier3m.fr/datasets/commune/baillargues,26,,,,,7202,43.661125,4.012632,ptf,34,Data Montpellier3M,Economie-Environnement-Santé-Transport-Equipements-Administratif-Citoyenneté,p_5_10,d_26_50,CKAN,"<p>L'organisation BAILLARGUES est une commune et se situe dans le département de Hérault (34). Cette commune représente une population de 7202 habitants</p><br><p>BAILLARGUES publie uniquement sur un portail local avec une plateforme de type CKAN.</p><br><p>Cette organisation a publié 26 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='http://data.montpellier3m.fr/datasets/commune/baillargues'> la plateforme de BAILLARGUES</a>.</p><br>",odf_213400229,Hérault
213500135,BAINS SUR OUST,COM,BRE-53,,,https://www.data.gouv.fr/fr/organizations/5a1d64a3c751df51a9440eae,8,5a1d64a3c751df51a9440eae,,3524,47.703591,-2.071711,datagouv,35,DataGouv,Administratif-Social-Tourisme,p_1_5,d_6_10,DataGouv,"<p>L'organisation BAINS SUR OUST est une commune et se situe dans le département de Ille-et-Vilaine (35). Cette commune représente une population de 3524 habitants</p><br><p>BAINS SUR OUST publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 8 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5a1d64a3c751df51a9440eae'> sa page sur datagouv</a>.</p><br>",odf_213500135,Ille-et-Vilaine
213100449,BALMA,COM,OCC-76,https://data.toulouse-metropole.fr/explore/?refine.publisher=Mairie+de+Balma,4,,,,Mairie de Balma,16140,43.609568,1.497847,ptf,31,Data Toulouse Métropole,Sport-Environnement-Education,p_10_25,d_1_5,OpenDataSoft,"<p>L'organisation BALMA est une commune et se situe dans le département de Haute-Garonne (31). Cette commune représente une population de 16140 habitants</p><br><p>BALMA publie uniquement sur un portail local avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 4 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://data.toulouse-metropole.fr/explore/?refine.publisher=Mairie+de+Balma'> la plateforme de BALMA</a>.</p><br>",odf_213100449,Haute-Garonne
